ID,Comment,Sentiment
1,"Shërbimi ishte fantastik, do të kthehem përsëri!",1
2,Stafi ishte shumë miqësor dhe profesional.,1
3,"Cilësia e produktit është e shkëlqyer, ia vlen çmimi",1
4,Dorëzimi ishte i shpejtë dhe pakoja e paprekur.,1
5,"""Rekomandoj fuqishëm këtë shërbim për të gjithë."",",1
6,"Më ka pëlqyer shumë, do ta blej sërish",1
7,"""Përvojë e mrekullueshme, gjithçka shkoi perfekt."",",1
8,"""Produkti është pikërisht siç përshkruhet, shumë mirë."",",1
9,"""Jam shumë i lumtur me blerjen time, faleminderit!"",",1
10,"""Shërbimi ndaj klientit është i jashtëzakonshëm."",",1
11,"""Çmimi është shumë i arsyeshëm për cilësinë e ofruar."",",1
12,"""Kjo kompani di si t'i trajtojë klientët e saj."",",1
13,"""Produkti funksionon perfekt, jam plotësisht i kënaqur."",",1
14,"""Dizajni është elegant dhe modern, shumë i bukur."",",1
15,"""Ekipi ishte shumë i dobishëm dhe i sjellshëm."",",1
16,"""Bleva dhe nuk u pendova aspak, produkt i shkëlqyer."",",1
17,"""Keni bërë punë të jashtëzakonshme, urime!"",",1
18,"""Ky produkt është ndër më të mirët që kam provuar."",",1
19,"""Do ta rekomandoja te të gjithë miqtë e mi."",",1
20,"""Çdo gjë ishte e organizuar dhe profesionale."",",1
21,"""Produkti erdhi shpejt dhe në gjendje perfekte."",",1
22,"""Jam shumë i kënaqur, do të blej sërish."",",1
23,"""Produkti ka cilësi të lartë, ia vlen çdo cent."",",1
24,"""Një eksperiencë blerje shumë pozitive."",",1
25,"""Stafi ishte shumë i zgjuar dhe i ndihmonte."",",1
26,"""Kam marrë produktin në kohë dhe funksionon mirë."",",1
27,"""Faleminderit për shërbimin e mrekullueshëm!"",",1
28,"Produkti tejkaloi pritjet e mia, shumë i kënaqur. ",1
29,Cfare u fitua me kto ,0/1
30,"Produkti nuk funksiononte fare, humbja e parave."",",0
31,"Shërbimi ishte i tmerrshëm, nuk do të kthehem kurrë.",0
32,"Cilësia është shumë e dobët, jam i zhgënjyer.",0
33,"Dorëzimi u vonua 2 javë, skandal i vërtetë",0
34,"Produkti erdhi i dëmtuar, jam shumë i mërzitur.",0
35,"""Nuk ia vlen aspak, humbja e kohës dhe parave."",",0
36,"""Shërbimi i klientit nuk i jep asnjë zgjidhje."",",0
37,"""Çmimi i lartë por cilësia zero, mashtrim i qartë."",",0
38,"""Pakoja ishte e dëmtuar dhe produkti i thyer."",",0
39,"""Jam i irrituar nga mënyra e trajtimit."",",0
40,"""Produkti ishte i rremë dhe me cilësi të keqe."",",0
41,"""Shërbimi i klientit ishte absolutisht i padobishëm."",",0
42,"""Produkti u dëmtua gjatë transportit, neglizhencë."",",0
43,"""Çmimi nuk justifikon aspak cilësinë e dobët."",",0
44,ka dhe firwall si sophos firewall qe jane nder me te miret,1
45,me forinet firewall nuk ka pse ndodhi nje gje e tille,0/1
46,me tregoni se ca perfitojm ne si popull pervec se paguajm miljona euro per Ramen. Na e nxiu jeten. ,0
47,po duan mos te shpenzhojne asgje,0/1
48,dmth nga sulmi i hackerave DDOS bllokuar ofrimi i,0
49,sherbimeve online te bashkise se tiranes/porti i durresit.. qe ofrojne shume pak sherbime,0/1
50,"Çdo gjë mund të DDoS, madje mund të rrëzohet e rindizet nën ngarkesë, por nuk merret kontrolli. PRO e rroga mira per ata qe mos ndodhi perser si e-ALB",0/1
51,"Paska dal prap ky mashtruesi i websiteve
wordpress qe ben siekspert",0
52,sulmet me DDoS behen kollaj edhe une mund te godas çdo faqe me disa shells te blera po halli se të kapin ndersa ruset jan të shtetit nuk i kap kush,0/1
53,Raiffeisen bank eshte nje nga te sulmuarit dhe me bukura eshte qe para 1 jave ben migrimin ne cloud te gjith infres dhe e shisnin si sukses,0
54,"ka Oday exploit ska nevoj per ddos po kur i jep it
400 mije it-ve kto gjera do kemi gjithmon",0
55,Booo doli prape ky qe vendos airtag mbrapa targes makines dhe del neper tv me webin e kompanise ne backgroudn.. shko mor,0/1
56,keto sulme kibernetike ja u ben amerika dhe juve ju thote rusia qe tju mbaje te varur. nuk meret rusi me juve,0/1
57,"Nuk ka politik ketu o budallej, eshte experti ma i mire ne shqiperi, degjojeni se qeveria nuk na
tregon kurre keto gjera",1
58,Edhe te flesh ne hotel me 50 euro nata me uj drita larje e te gjitha 1500 euro te bie me lire sesa te marresh shpi me qera hahahah,0/1
59," Nuk kan faj agjentet ,agjenti eshte i pari qe deshiron ulje t cmimit t prones por kur nuk pranon pronari ske ca i ben me zor sja ul dot ne provojme cdo menyre dhe ne i marim pronat i nxjerimnne ate",0/1
60,Kshu jane ne gjithe boten po ne shqiperi eshte tangerlliku ne maksimum dhe njerezit harrojne qe jo cdo shpi eshte si ato qe shofin ne instagram dhe tiktok,0/1
61," E keqja esht se nuk ta fut vec shteti po dhe populli esht degjeneru ja ka erresu syt leku, vec per ta grabit njeri tjeterin mendojn si kto agjensit imobilare fitojn komisione marramendse",0
62,"Vet vendi jon esht ironi ne vetvete, por ironia me e madhe tel ne esht fakti se prodhuesit tan skan ku ti shesin produktet e tyre dhe dalin duke I hedh ne plehra nderkoh cmimi rritet. Hajd mere vesh
Kte ven leshi",0/1
63,Ky lajm është shumë shqetësues,0
64,Kjo është një dështim i madh.,0
65,Kjo tregon probleme serioze,0
66,Nuk jam dakord me këtë zhvillim,0
67,Më pëlqen drejtimi që po merret.,1
68,Ky lajm duhet përhapur më shumë,1
69,Shumë lajm inkurajues,1
70,E keqe ,0
71,E mire,1
72,Shume problem ,0
73,E shqetesueshme ,0
74,E pa perballueshme ,0
75,Me pelqen menyra se si ata mendojt ta zgjidhin kete problem duke argumentuar ne nje menyre qe te ben te mendosh se po bejn gjen e duhur,1
76,Ndonjeher e teprojn me kto negociatat qe zhvillohen ,0
77, Do preferoja te rrija ne qetesin time se sa tu perzija me politik ,0/1
78,A popull dele jan mesuar te han bar kta,0
79,Kjo është një fitore për të gjithë,1
80,Më në fund një ndryshim pozitiv.,1
81,Bravo për punën e bërë,1
82,Ky është një hap pas.,0
83,Lajm shumë negativ.,0
84,Duhet parë si do zhvillohet më tej,0/1
85,Kjo kërkon analizë më të thellë,0/1
86,	Nuk kam një mendim të qartë ende,0/1
87,	Nuk ka shpresë me këto zhvillime,0
88,Kjo është një katastrofë.,0
89,Edhe sa do duroni mer zot ,0
